iter	Passed	Remaining
0	1	99
1	1	88
2	2	84
3	3	80
4	4	79
5	4	76
6	5	74
7	6	72
8	7	71
9	7	70
10	8	69
11	9	68
12	10	67
13	10	66
14	11	64
15	12	64
16	12	63
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	56	22
71	56	22
72	57	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	79	4
95	80	3
96	81	2
97	82	1
98	83	0
99	84	0
