iter	Passed	Remaining
0	0	894
1	1	725
2	2	694
3	2	663
4	3	655
5	3	647
6	4	632
7	4	618
8	5	608
9	6	600
10	6	596
11	7	595
12	7	590
13	8	587
14	8	582
15	9	581
16	10	581
17	10	579
18	11	577
19	11	576
20	12	574
21	12	573
22	13	572
23	14	570
24	14	570
25	15	569
26	15	566
27	16	565
28	16	564
29	17	561
30	17	559
31	18	559
32	19	558
33	19	559
34	20	558
35	20	557
36	21	556
37	21	554
38	22	551
39	22	551
40	23	550
41	24	569
42	25	568
43	26	569
44	26	570
45	27	569
46	28	568
47	28	573
48	29	575
49	30	575
50	30	575
51	31	573
52	32	573
53	32	571
54	33	570
55	33	569
56	34	568
57	34	566
58	35	568
59	36	568
60	36	567
61	37	567
62	38	567
63	38	567
64	39	565
65	39	565
66	40	566
67	41	567
68	41	566
69	42	567
70	43	566
71	43	566
72	44	566
73	45	565
74	45	565
75	46	565
76	47	565
77	47	566
78	48	565
79	49	564
80	49	563
81	50	563
82	50	559
83	51	558
84	51	557
85	52	556
86	52	556
87	53	554
88	54	555
89	54	553
90	55	552
91	55	552
92	56	553
93	57	553
94	58	553
95	58	553
96	59	553
97	60	552
98	61	555
99	61	554
100	62	553
101	62	553
102	63	553
103	64	551
104	64	551
105	65	550
106	65	549
107	66	548
108	66	547
109	67	546
110	68	545
111	68	544
112	69	543
113	69	543
114	70	542
115	71	541
116	71	539
117	72	539
118	72	538
119	73	537
120	73	537
121	74	535
122	74	534
123	75	533
124	76	533
125	76	533
126	77	531
127	78	531
128	78	531
129	79	531
130	80	530
131	80	530
132	81	530
133	81	529
134	82	528
135	83	528
136	83	527
137	84	526
138	84	525
139	85	524
140	85	523
141	86	521
142	86	521
143	87	520
144	88	520
145	88	519
146	89	519
147	90	518
148	90	518
149	91	517
150	92	517
151	92	517
152	93	517
153	94	516
154	94	515
155	95	515
156	96	515
157	96	515
158	97	514
159	97	513
160	98	511
161	98	510
162	99	510
163	99	509
164	100	508
165	101	507
166	101	506
167	102	506
168	102	505
169	103	505
170	104	504
171	104	504
172	105	504
173	106	503
174	106	503
175	107	503
176	108	502
177	108	502
178	109	501
179	110	501
180	110	500
181	111	499
182	111	498
183	112	498
184	112	497
185	113	496
186	114	495
187	114	494
188	115	494
189	115	493
190	116	492
191	116	492
192	117	491
193	118	490
194	118	490
195	119	489
196	119	488
197	120	488
198	121	487
199	122	488
200	122	488
201	123	487
202	123	486
203	124	486
204	125	485
205	125	484
206	126	484
207	126	483
208	127	482
209	128	482
210	128	481
211	129	481
212	130	480
213	130	480
214	131	479
215	131	479
216	132	478
217	133	478
218	134	478
219	134	477
220	135	477
221	136	476
222	136	476
223	137	475
224	138	475
225	138	475
226	139	474
227	140	474
228	140	473
229	141	472
230	141	471
231	142	470
232	142	470
233	143	469
234	143	468
235	144	468
236	145	467
237	145	466
238	146	465
239	146	465
240	147	464
241	148	463
242	148	463
243	149	462
244	149	461
245	150	461
246	151	460
247	151	460
248	152	459
249	152	458
250	153	458
251	154	457
252	154	456
253	155	455
254	155	455
255	156	454
256	156	453
257	157	452
258	158	452
259	158	451
260	159	451
261	159	450
262	160	449
263	161	449
264	161	448
265	162	447
266	162	447
267	163	446
268	164	445
269	164	445
270	165	444
271	166	444
272	166	444
273	167	443
274	167	442
275	168	441
276	169	441
277	169	440
278	170	439
279	170	439
280	171	438
281	172	438
282	172	437
283	173	436
284	173	436
285	174	435
286	174	434
287	175	433
288	176	433
289	176	432
290	177	431
291	177	430
292	178	430
293	179	429
294	179	429
295	180	428
296	180	428
297	181	427
298	182	426
299	182	426
300	183	426
301	184	425
302	184	425
303	185	424
304	186	423
305	186	423
306	187	422
307	187	422
308	188	421
309	189	421
310	189	420
311	190	419
312	190	418
313	191	418
314	192	417
315	192	417
316	193	416
317	193	415
318	194	415
319	195	414
320	195	414
321	196	413
322	197	413
323	197	412
324	198	412
325	199	411
326	199	411
327	200	410
328	201	410
329	201	409
330	202	409
331	202	408
332	203	408
333	204	407
334	205	407
335	205	406
336	206	406
337	207	405
338	207	405
339	208	404
340	209	403
341	209	403
342	210	402
343	211	402
344	211	402
345	212	401
346	213	401
347	213	400
348	214	400
349	215	399
350	215	398
351	216	398
352	216	397
353	217	397
354	218	396
355	219	397
356	220	396
357	220	395
358	221	395
359	221	394
360	222	394
361	223	393
362	223	393
363	224	392
364	225	392
365	226	391
366	227	391
367	227	390
368	228	390
369	228	389
370	229	389
371	230	388
372	230	388
373	231	387
374	232	386
375	232	386
376	233	385
377	234	385
378	234	384
379	235	384
380	236	383
381	236	383
382	237	382
383	238	381
384	238	381
385	239	380
386	240	380
387	240	379
388	241	379
389	242	378
390	242	378
391	243	377
392	244	377
393	244	376
394	245	376
395	246	375
396	246	374
397	247	374
398	248	373
399	248	373
400	249	372
401	250	372
402	250	371
403	251	370
404	251	370
405	252	369
406	253	368
407	253	367
408	254	367
409	254	366
410	255	366
411	256	365
412	256	364
413	257	364
414	258	363
415	258	363
416	259	362
417	260	362
418	260	361
419	261	361
420	262	360
421	262	359
422	263	359
423	264	358
424	264	358
425	265	357
426	265	356
427	266	356
428	267	355
429	267	354
430	268	354
431	268	353
432	269	352
433	269	352
434	270	351
435	271	350
436	272	350
437	272	349
438	273	349
439	273	348
440	274	347
441	274	347
442	275	346
443	276	345
444	276	344
445	277	344
446	277	343
447	278	342
448	278	342
449	279	341
450	279	340
451	280	340
452	281	339
453	281	338
454	282	338
455	282	337
456	283	337
457	284	336
458	284	335
459	285	335
460	286	334
461	286	334
462	287	333
463	288	333
464	289	332
465	289	331
466	290	331
467	290	330
468	291	330
469	292	329
470	292	328
471	293	328
472	293	327
473	294	326
474	295	326
475	295	325
476	296	325
477	297	324
478	297	323
479	298	323
480	298	322
481	299	321
482	300	321
483	300	320
484	301	320
485	302	319
486	302	319
487	303	318
488	304	317
489	304	317
490	305	316
491	306	315
492	306	315
493	307	314
494	307	314
495	308	313
496	309	312
497	309	312
498	310	311
499	310	310
500	311	310
501	312	309
502	312	308
503	313	308
504	313	307
505	314	307
506	315	306
507	315	305
508	316	305
509	317	304
510	317	304
511	318	303
512	319	303
513	320	302
514	320	302
515	321	301
516	322	300
517	322	300
518	323	299
519	324	299
520	324	298
521	325	298
522	326	297
523	326	296
524	327	296
525	327	295
526	328	294
527	328	294
528	329	293
529	330	292
530	330	292
531	331	291
532	332	290
533	332	290
534	333	289
535	334	289
536	334	288
537	335	288
538	336	287
539	336	286
540	337	286
541	338	285
542	338	285
543	339	284
544	340	284
545	340	283
546	341	282
547	342	282
548	342	281
549	343	280
550	343	280
551	344	279
552	345	278
553	345	278
554	346	277
555	347	277
556	347	276
557	348	276
558	349	275
559	349	274
560	350	274
561	350	273
562	351	272
563	352	272
564	352	271
565	353	271
566	354	270
567	355	270
568	355	269
569	356	268
570	356	268
571	357	267
572	358	266
573	358	266
574	359	265
575	359	264
576	360	264
577	361	263
578	361	263
579	362	262
580	363	261
581	363	261
582	364	260
583	365	260
584	365	259
585	366	258
586	366	258
587	367	257
588	368	256
589	368	256
590	369	255
591	370	255
592	370	254
593	371	254
594	372	253
595	372	252
596	373	252
597	374	251
598	374	250
599	375	250
600	376	249
601	376	249
602	377	248
603	378	247
604	378	247
605	379	246
606	380	246
607	381	245
608	381	245
609	382	244
610	383	243
611	383	243
612	384	242
613	385	242
614	386	241
615	387	241
616	387	240
617	388	240
618	388	239
619	389	238
620	390	238
621	390	237
622	391	236
623	392	236
624	393	235
625	393	235
626	394	234
627	395	234
628	395	233
629	396	232
630	397	232
631	397	231
632	398	230
633	398	230
634	399	229
635	400	229
636	401	228
637	401	227
638	402	227
639	402	226
640	403	225
641	403	225
642	404	224
643	405	223
644	405	223
645	406	222
646	406	221
647	407	221
648	408	220
649	409	220
650	409	219
651	410	219
652	410	218
653	411	217
654	412	217
655	413	216
656	413	216
657	414	215
658	415	214
659	415	214
660	416	213
661	416	212
662	417	212
663	418	211
664	418	210
665	419	210
666	419	209
667	420	209
668	421	208
669	422	207
670	422	207
671	423	206
672	424	206
673	424	205
674	425	204
675	426	204
676	426	203
677	427	203
678	428	202
679	428	201
680	429	201
681	429	200
682	430	199
683	431	199
684	431	198
685	432	197
686	433	197
687	433	196
688	434	196
689	434	195
690	435	194
691	436	194
692	437	193
693	437	193
694	438	192
695	439	191
696	439	191
697	440	190
698	441	189
699	441	189
700	442	188
701	443	188
702	443	187
703	444	186
704	445	186
705	445	185
706	446	184
707	446	184
708	447	183
709	447	182
710	448	182
711	449	181
712	449	180
713	450	180
714	450	179
715	451	179
716	452	178
717	453	177
718	453	177
719	454	176
720	455	176
721	455	175
722	456	174
723	457	174
724	457	173
725	458	173
726	459	172
727	459	171
728	460	171
729	460	170
730	461	169
731	461	169
732	462	168
733	462	167
734	463	167
735	464	166
736	464	165
737	465	165
738	465	164
739	466	163
740	467	163
741	467	162
742	468	162
743	469	161
744	470	160
745	470	160
746	471	159
747	471	159
748	472	158
749	473	157
750	473	157
751	474	156
752	475	155
753	475	155
754	476	154
755	476	153
756	477	153
757	478	152
758	478	152
759	479	151
760	479	150
761	480	150
762	481	149
763	481	148
764	482	148
765	483	147
766	484	147
767	484	146
768	485	145
769	485	145
770	486	144
771	487	143
772	487	143
773	488	142
774	488	141
775	489	141
776	490	140
777	490	140
778	491	139
779	491	138
780	492	138
781	493	137
782	493	136
783	494	136
784	494	135
785	495	134
786	496	134
787	496	133
788	497	133
789	498	132
790	498	131
791	499	131
792	499	130
793	500	129
794	501	129
795	502	128
796	502	128
797	503	127
798	504	126
799	504	126
800	505	125
801	506	124
802	506	124
803	507	123
804	508	123
805	508	122
806	509	121
807	509	121
808	510	120
809	511	119
810	511	119
811	512	118
812	513	118
813	513	117
814	514	116
815	515	116
816	515	115
817	516	114
818	516	114
819	517	113
820	518	112
821	518	112
822	519	111
823	519	111
824	520	110
825	521	109
826	521	109
827	522	108
828	523	107
829	523	107
830	524	106
831	525	106
832	525	105
833	526	104
834	526	104
835	527	103
836	528	102
837	528	102
838	529	101
839	530	101
840	531	100
841	531	99
842	532	99
843	533	98
844	534	97
845	534	97
846	535	96
847	536	96
848	536	95
849	537	94
850	538	94
851	538	93
852	539	92
853	540	92
854	540	91
855	541	91
856	542	90
857	542	89
858	543	89
859	544	88
860	544	87
861	545	87
862	546	86
863	547	86
864	547	85
865	548	84
866	548	84
867	549	83
868	549	82
869	550	82
870	551	81
871	551	80
872	552	80
873	552	79
874	553	79
875	553	78
876	554	77
877	555	77
878	555	76
879	556	75
880	557	75
881	557	74
882	558	73
883	558	73
884	559	72
885	560	72
886	561	71
887	561	70
888	562	70
889	563	69
890	563	68
891	564	68
892	564	67
893	565	67
894	565	66
895	566	65
896	567	65
897	567	64
898	568	63
899	568	63
900	569	62
901	569	61
902	570	61
903	571	60
904	571	60
905	572	59
906	573	58
907	573	58
908	574	57
909	575	56
910	576	56
911	576	55
912	577	55
913	578	54
914	579	53
915	579	53
916	580	52
917	580	51
918	581	51
919	582	50
920	582	49
921	583	49
922	583	48
923	584	48
924	584	47
925	585	46
926	586	46
927	586	45
928	587	44
929	587	44
930	588	43
931	589	43
932	590	42
933	590	41
934	591	41
935	592	40
936	592	39
937	593	39
938	594	38
939	595	37
940	595	37
941	596	36
942	597	36
943	597	35
944	598	34
945	598	34
946	599	33
947	600	32
948	600	32
949	601	31
950	602	31
951	602	30
952	603	29
953	603	29
954	604	28
955	605	27
956	605	27
957	606	26
958	607	25
959	607	25
960	608	24
961	609	24
962	609	23
963	610	22
964	610	22
965	611	21
966	612	20
967	612	20
968	613	19
969	613	18
970	614	18
971	615	17
972	615	17
973	616	16
974	616	15
975	617	15
976	617	14
977	618	13
978	619	13
979	620	12
980	621	12
981	622	11
982	622	10
983	623	10
984	624	9
985	624	8
986	625	8
987	626	7
988	626	6
989	627	6
990	628	5
991	628	5
992	629	4
993	629	3
994	630	3
995	631	2
996	631	1
997	632	1
998	632	0
999	633	0
